epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.4922,2.68318,0.64425,0.90088,1.6125,0.00013485,0.00013485,0.00013485
2,37.9113,1.00919,0.85133,0.98407,0.46963,0.000268624,0.000268624,0.000268624
3,53.3372,0.40181,0.89027,0.98761,0.40034,0.000396885,0.000396885,0.000396885
4,67.4712,0.29727,0.87965,0.98584,0.49731,0.000409161,0.000409161,0.000409161
5,83.6268,0.25256,0.89027,0.98053,0.38789,0.000400548,0.000400548,0.000400548
6,98.22,0.2176,0.88496,0.98938,0.35513,0.000391935,0.000391935,0.000391935
7,112.188,0.18628,0.90088,0.98938,0.35264,0.000383322,0.000383322,0.000383322
8,126.836,0.14057,0.90796,0.99292,0.32039,0.000374709,0.000374709,0.000374709
9,141.908,0.1576,0.90796,0.98938,0.35908,0.000366096,0.000366096,0.000366096
10,157.863,0.17833,0.90442,0.98761,0.38215,0.000357483,0.000357483,0.000357483
11,174.869,0.1321,0.90796,0.98407,0.39009,0.00034887,0.00034887,0.00034887
12,190.136,0.12175,0.92212,0.98584,0.26904,0.000340257,0.000340257,0.000340257
13,205.467,0.10553,0.92566,0.99115,0.2813,0.000331644,0.000331644,0.000331644
14,219.633,0.08169,0.9292,0.98584,0.25239,0.000323031,0.000323031,0.000323031
15,232.793,0.08028,0.9292,0.99292,0.22744,0.000314418,0.000314418,0.000314418
16,248.433,0.06734,0.93097,0.98761,0.23412,0.000305805,0.000305805,0.000305805
17,262.964,0.07892,0.90796,0.98407,0.31458,0.000297192,0.000297192,0.000297192
18,278.221,0.10182,0.91858,0.98584,0.33386,0.000288579,0.000288579,0.000288579
19,294.724,0.08914,0.92566,0.98584,0.35322,0.000279966,0.000279966,0.000279966
20,310.729,0.07062,0.92743,0.98407,0.27778,0.000271353,0.000271353,0.000271353
21,325.699,0.05633,0.92389,0.98584,0.25857,0.00026274,0.00026274,0.00026274
22,339.518,0.05344,0.92389,0.98584,0.30608,0.000254127,0.000254127,0.000254127
23,353.641,0.07445,0.9292,0.98761,0.2855,0.000245514,0.000245514,0.000245514
24,368.22,0.05176,0.92389,0.98407,0.26987,0.000236901,0.000236901,0.000236901
25,382.079,0.04133,0.9292,0.9823,0.30554,0.000228288,0.000228288,0.000228288
26,396.477,0.03272,0.93628,0.98761,0.28584,0.000219675,0.000219675,0.000219675
27,410.69,0.02234,0.93274,0.98407,0.31416,0.000211062,0.000211062,0.000211062
28,425.471,0.0235,0.9292,0.98407,0.2981,0.000202449,0.000202449,0.000202449
29,441.136,0.03071,0.93274,0.98761,0.27181,0.000193836,0.000193836,0.000193836
30,455.069,0.03969,0.92566,0.98584,0.33303,0.000185223,0.000185223,0.000185223
31,469.161,0.04897,0.91681,0.98584,0.40183,0.00017661,0.00017661,0.00017661
32,483.388,0.02972,0.92566,0.98938,0.29871,0.000167997,0.000167997,0.000167997
33,496.807,0.03095,0.9292,0.98584,0.30791,0.000159384,0.000159384,0.000159384
34,511.16,0.03718,0.91858,0.98407,0.32178,0.000150771,0.000150771,0.000150771
35,525.343,0.02201,0.93097,0.98761,0.26794,0.000142158,0.000142158,0.000142158
36,540.046,0.03052,0.92743,0.99115,0.26643,0.000133545,0.000133545,0.000133545
37,553.676,0.03278,0.92035,0.99115,0.28694,0.000124932,0.000124932,0.000124932
38,569.569,0.02392,0.92389,0.99115,0.24864,0.000116319,0.000116319,0.000116319
39,584.644,0.0172,0.92743,0.99292,0.24977,0.000107706,0.000107706,0.000107706
40,599.355,0.01978,0.9292,0.99292,0.30615,9.9093e-05,9.9093e-05,9.9093e-05
41,648.047,0.02019,0.93451,0.99115,0.22062,9.048e-05,9.048e-05,9.048e-05
42,663.133,0.00902,0.93628,0.99115,0.23505,8.1867e-05,8.1867e-05,8.1867e-05
43,679.27,0.01889,0.93097,0.99115,0.26431,7.3254e-05,7.3254e-05,7.3254e-05
44,692.3,0.02843,0.92743,0.99292,0.29053,6.4641e-05,6.4641e-05,6.4641e-05
45,706.728,0.01234,0.93982,0.99292,0.25382,5.6028e-05,5.6028e-05,5.6028e-05
46,721.286,0.01007,0.94336,0.99292,0.26525,4.7415e-05,4.7415e-05,4.7415e-05
47,735.409,0.01016,0.94513,0.99292,0.2551,3.8802e-05,3.8802e-05,3.8802e-05
48,749.918,0.01613,0.93982,0.99292,0.23735,3.0189e-05,3.0189e-05,3.0189e-05
49,764.289,0.02599,0.94159,0.99292,0.23096,2.1576e-05,2.1576e-05,2.1576e-05
50,778.503,0.01186,0.94867,0.99292,0.26213,1.2963e-05,1.2963e-05,1.2963e-05
